Weight,Xcg,time
64233.2166044735,7.150335715142077,1036.3
64233.018150544456,7.150335281899829,1036.4
64232.81966103413,7.150334848577225,1036.5
64232.62115433041,7.150334415214409,1036.6
64232.42265041151,7.1503339818549945,1036.7
64232.224162699895,7.150333548528283,1036.8
64232.025692041825,7.150333115236126,1036.9
64231.82722732429,7.150332681954259,1037.0
64231.62875257,7.1503322486478025,1037.1
64231.430255546045,7.150331815290048,1037.2
64231.23173256935,7.150331381872957,1037.3
64231.033187923844,7.150330948405878,1037.4
64230.83463010562,7.150330514907358,1037.5
64230.63606804138,7.1503300813968895,1037.6
64230.43750902786,7.150329647890402,1037.7
64230.23895833836,7.150329214399406,1037.8
64230.04041950512,7.150328780931616,1037.9
64229.84189446717,7.150328347491266,1038.0
64229.64338331897,7.150327914078564,1038.1
64229.44488374513,7.1503274806884525,1038.2
64229.2463904599,7.150327047309392,1038.3
64229.047895092466,7.150326613923107,1038.4
64228.849387309034,7.150326180507034,1038.5
64228.650858238165,7.150325747041804,1038.6
64228.45230545913,7.150325313522129,1038.7
64228.25373583193,7.150324879962987,1038.8
64228.0551628278,7.150324446393791,1038.9
64227.85659950935,7.150324012843064,1039.0
64227.65805195227,7.150323579324068,1039.1
64227.45951684878,7.150323145829585,1039.2
64227.26098363774,7.150322712336554,1039.3
64227.062439793226,7.150322278817625,1039.4
64226.86387724706,7.15032184525518,1039.5
64226.66529643898,7.150321411650179,1039.6
64226.46670474284,7.150320978018723,1039.7
64226.268110240635,7.150320544378458,1039.8
64226.069516033014,7.150320110736153,1039.9
64225.87091938828,7.1503196770858475,1040.0
64225.67231520584,7.150319243416399,1040.1
64225.473700171635,7.150318809720572,1040.2
64225.275075147656,7.150318376000249,1040.3
64225.07644547568,7.150317942267094,1040.4
64224.87781918919,7.15031750853865,1040.5
64224.67920345144,7.150317074830556,1040.6
64224.48060150469,7.150316641149896,1040.7
64224.28201344437,7.150316207496877,1040.8
64224.08344097681,7.150315773875226,1040.9
64223.884891332695,7.150315340300733,1041.0
64223.686375080855,7.15031490679648,1041.1
64223.487898049905,7.150314473375196,1041.2
64223.2894532132,7.150314040021535,1041.3
64223.09101897205,7.150313606688337,1041.4
64222.89256599197,7.150313173311536,1041.5
64222.69406946888,7.150312739836971,1041.6
64222.495520498385,7.15031230624519,1041.7
64222.296930015684,7.1503118725600725,1041.8
